"symbol","date","open","high","low","close","volume","adjusted","vol_change","return","adjusted_return","gap_type","gap_size","range","weekday","month","candle_body_metric","vol_change_lag-10","return_lag-10","adjusted_return_lag-10","range_lag-10","weekday_lag-10","month_lag-10","candle_body_metric_lag-10","vol_change_lag-9","return_lag-9","adjusted_return_lag-9","range_lag-9","weekday_lag-9","month_lag-9","candle_body_metric_lag-9","vol_change_lag-8","return_lag-8","adjusted_return_lag-8","range_lag-8","weekday_lag-8","month_lag-8","candle_body_metric_lag-8","vol_change_lag-7","return_lag-7","adjusted_return_lag-7","range_lag-7","weekday_lag-7","month_lag-7","candle_body_metric_lag-7","vol_change_lag-6","return_lag-6","adjusted_return_lag-6","range_lag-6","weekday_lag-6","month_lag-6","candle_body_metric_lag-6","vol_change_lag-5","return_lag-5","adjusted_return_lag-5","range_lag-5","weekday_lag-5","month_lag-5","candle_body_metric_lag-5","vol_change_lag-4","return_lag-4","adjusted_return_lag-4","range_lag-4","weekday_lag-4","month_lag-4","candle_body_metric_lag-4","vol_change_lag-3","return_lag-3","adjusted_return_lag-3","range_lag-3","weekday_lag-3","month_lag-3","candle_body_metric_lag-3","vol_change_lag-2","return_lag-2","adjusted_return_lag-2","range_lag-2","weekday_lag-2","month_lag-2","candle_body_metric_lag-2","vol_change_lag-1","return_lag-1","adjusted_return_lag-1","range_lag-1","weekday_lag-1","month_lag-1","candle_body_metric_lag-1","vol_change_lag1","return_lag1","adjusted_return_lag1","range_lag1","weekday_lag1","month_lag1","candle_body_metric_lag1","vol_change_lag2","return_lag2","adjusted_return_lag2","range_lag2","weekday_lag2","month_lag2","candle_body_metric_lag2","vol_change_lag3","return_lag3","adjusted_return_lag3","range_lag3","weekday_lag3","month_lag3","candle_body_metric_lag3","vol_change_lag4","return_lag4","adjusted_return_lag4","range_lag4","weekday_lag4","month_lag4","candle_body_metric_lag4","vol_change_lag5","return_lag5","adjusted_return_lag5","range_lag5","weekday_lag5","month_lag5","candle_body_metric_lag5","vol_change_lag6","return_lag6","adjusted_return_lag6","range_lag6","weekday_lag6","month_lag6","candle_body_metric_lag6","vol_change_lag7","return_lag7","adjusted_return_lag7","range_lag7","weekday_lag7","month_lag7","candle_body_metric_lag7","vol_change_lag8","return_lag8","adjusted_return_lag8","range_lag8","weekday_lag8","month_lag8","candle_body_metric_lag8","vol_change_lag9","return_lag9","adjusted_return_lag9","range_lag9","weekday_lag9","month_lag9","candle_body_metric_lag9","vol_change_lag10","return_lag10","adjusted_return_lag10","range_lag10","weekday_lag10","month_lag10","candle_body_metric_lag10"
"ROH","2000-02-08","16","16","16","16","3000","16","Inf","0.032258064516129","0.019984864516129","NONE","0","0","2","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462","Inf","0.0967741935483871","0.0715566235483871","0.0625","1","1","0.0625","-1","-0.03125","-0.00379317","0.0967741935483871","5","1","-0.0882352941176471","0","0.032258064516129","0.036196492516129","0","4","1","0","-0.997529339098209","0.0333333333333333","0.0375460543333333","0","3","1","0","Inf","0.0909090909090909","0.0848442909090909","0.1","2","1","-0.0625"
"ROH","2000-02-09","15.5","16","15.5","16","3000","16","0","0","0.02081542","NONE","0","0.032258064516129","3","2","0.032258064516129","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462","Inf","0.0967741935483871","0.0715566235483871","0.0625","1","1","0.0625","-1","-0.03125","-0.00379317","0.0967741935483871","5","1","-0.0882352941176471","0","0.032258064516129","0.036196492516129","0","4","1","0","-0.997529339098209","0.0333333333333333","0.0375460543333333","0","3","1","0"
"ROH","2000-02-10","16","16","16","16","33000","16","10","0","-0.003626804","NONE","0","0","4","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462","Inf","0.0967741935483871","0.0715566235483871","0.0625","1","1","0.0625","-1","-0.03125","-0.00379317","0.0967741935483871","5","1","-0.0882352941176471","0","0.032258064516129","0.036196492516129","0","4","1","0"
"ROH","2000-02-11","16.5","17","16.5","17","7000","17","-0.787878787878788","0.0625","0.08346932","UP","0.03125","0.0303030303030303","5","2","0.0303030303030303","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462","Inf","0.0967741935483871","0.0715566235483871","0.0625","1","1","0.0625","-1","-0.03125","-0.00379317","0.0967741935483871","5","1","-0.0882352941176471"
"ROH","2000-02-14","16.25","16.25","16.25","16.25","1000","16.25","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","DOWN","-0.0151515151515152","0","1","2","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462","Inf","0.0967741935483871","0.0715566235483871","0.0625","1","1","0.0625"
"ROH","2000-02-15","16.5","16.5","16.25","16.5","14000","16.5","13","0.0153846153846154","0.00667193138461539","NONE","0","0.0153846153846154","2","2","0","-0.8","0","-0.009345514","0","3","3","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418","-0.936","-0.0882352941176471","-0.0988631141176471","0.0483870967741935","2","2","-0.0461538461538462"
"ROH","2000-02-16","16.25","16.5","16.25","16.5","20600","16.5","0.471428571428571","0","0.01025641","NONE","0","0.0153846153846154","3","2","0.0153846153846154","4.25","0.0136986301369863","0.0118351671369863","0.0136986301369863","4","3","0.0136986301369863","-0.8","0","-0.009345514","0","3","3","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0","-1","0","0.0001135573","0.0806451612903226","3","2","-0.0746268656716418"
"ROH","2000-02-17","17.5","18","17","18","55800","18","1.70873786407767","0.0909090909090909","0.0904839423090909","UP","0.0303030303030303","0.0588235294117647","4","2","0.0285714285714286","-0.80952380952381","-0.0135135135135135","-0.0333505535135135","0","5","3","0","4.25","0.0136986301369863","0.0118351671369863","0.0136986301369863","4","3","0.0136986301369863","-0.8","0","-0.009345514","0","3","3","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0","Inf","0.032258064516129","0.021009924516129","0","4","2","0"
"ROH","2000-02-18","18.25","18.25","18","18","2600","18","-0.953405017921147","0","0.03037619","NONE","0","0.0138888888888889","5","2","-0.0136986301369863","-0.5","0.0136986301369863","0.0263940601369863","0","1","3","0","-0.80952380952381","-0.0135135135135135","-0.0333505535135135","0","5","3","0","4.25","0.0136986301369863","0.0118351671369863","0.0136986301369863","4","3","0.0136986301369863","-0.8","0","-0.009345514","0","3","3","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","144.192307692308","0.0555555555555556","0.0510387115555556","0.0410958904109589","2","2","0.027027027027027","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471","15","0","0.0004210447","0","5","2","0"
"ROH","2000-02-22","18.5","19","18.25","19","377500","19","144.192307692308","0.0555555555555556","0.0510387115555556","NONE","0","0.0410958904109589","2","2","0.027027027027027","-1","-0.0135135135135135","0.0121175864864865","0.0273972602739726","2","3","-0.0266666666666667","-0.5","0.0136986301369863","0.0263940601369863","0","1","3","0","-0.80952380952381","-0.0135135135135135","-0.0333505535135135","0","5","3","0","4.25","0.0136986301369863","0.0118351671369863","0.0136986301369863","4","3","0.0136986301369863","-0.8","0","-0.009345514","0","3","3","0","0.25","0","-0.01362709","0","2","2","0","0.6","0","-0.01101733","0","1","2","0","-0.137931034482759","-0.0135135135135135","0.00131552648648649","0.0136986301369863","5","2","0","-0.625806451612903","-0.0133333333333333","-0.00799788833333333","0","4","2","0","-0.958940397350993","-0.0131578947368421","-0.0194588007368421","0.027027027027027","3","2","0.0135135135135135","-0.953405017921147","0","0.03037619","0.0138888888888889","5","2","-0.0136986301369863","1.70873786407767","0.0909090909090909","0.0904839423090909","0.0588235294117647","4","2","0.0285714285714286","0.471428571428571","0","0.01025641","0.0153846153846154","3","2","0.0153846153846154","13","0.0153846153846154","0.00667193138461539","0.0153846153846154","2","2","0","-0.857142857142857","-0.0441176470588235","-0.0461505970588235","0","1","2","0","-0.787878787878788","0.0625","0.08346932","0.0303030303030303","5","2","0.0303030303030303","10","0","-0.003626804","0","4","2","0","0","0","0.02081542","0.032258064516129","3","2","0.032258064516129","Inf","0.032258064516129","0.019984864516129","0","2","2","0","-1","-0.03125","-0.03115872807","0.0967741935483871","1","2","-0.0882352941176471"
