"symbol","date","open","high","low","close","volume","adjusted"
"LLL",2013-03-07,148.350006,149.699997,105,135,273,135
"LLL",2013-03-08,135,135,135,135,0,135
"LLL",2013-03-11,135,135,135,135,0,135
"LLL",2013-03-12,135,135,135,135,0,135
"LLL",2013-03-13,135,135,135,135,0,135
"LLL",2013-03-14,135,135,135,135,0,135
"LLL",2013-03-15,135,135,135,135,0,135
"LLL",2013-03-18,135,135,135,135,0,135
"LLL",2013-03-19,135,135,135,135,0,135
"LLL",2013-03-20,135,135,135,135,0,135
"LLL",2013-03-21,135,135,135,135,0,135
"LLL",2013-03-22,135,135,135,135,0,135
"LLL",2013-03-25,135,135,135,135,0,135
"LLL",2013-03-26,135,135,135,135,0,135
"LLL",2013-03-27,135,135,135,135,0,135
"LLL",2013-03-28,135,135,135,135,0,135
"LLL",2013-04-01,135,135,135,135,0,135
"LLL",2013-04-02,135,135,135,135,0,135
"LLL",2013-04-03,135,135,135,135,0,135
"LLL",2013-04-04,149.699997,149.699997,149.25,149.25,120,149.25
"LLL",2013-04-05,142.649994,145.5,142.649994,145.5,20,145.5
"LLL",2013-04-08,145.5,145.5,145.5,145.5,0,145.5
"LLL",2013-04-09,145.5,145.5,145.5,145.5,0,145.5
"LLL",2013-04-10,148.949997,149.699997,148.949997,149.25,40,149.25
"LLL",2013-04-11,149.25,149.699997,149.25,149.699997,13,149.699997
"LLL",2013-04-12,149.699997,149.699997,149.699997,149.699997,0,149.699997
"LLL",2013-04-15,149.699997,149.699997,149.699997,149.699997,0,149.699997
"LLL",2013-04-16,148.350006,148.5,148.350006,148.5,20,148.5
"LLL",2013-04-17,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-18,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-19,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-22,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-23,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-24,148.5,148.5,148.5,148.5,0,148.5
"LLL",2013-04-25,107.099998,146.699997,107.099998,146.699997,93,146.699997
"LLL",2013-04-26,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-04-29,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-04-30,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-01,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-02,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-03,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-06,146.699997,146.699997,146.699997,146.699997,7,146.699997
"LLL",2013-05-07,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-08,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-09,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-10,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-13,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-14,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-15,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-16,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-17,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-20,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-21,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-22,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-23,146.699997,146.699997,146.699997,146.699997,0,146.699997
"LLL",2013-05-24,147.600006,148.050003,147.600006,148.050003,180,148.050003
"LLL",2013-05-28,148.050003,148.050003,148.050003,148.050003,0,148.050003
"LLL",2013-05-29,148.050003,148.050003,148.050003,148.050003,0,148.050003
"LLL",2013-05-30,148.050003,148.050003,148.050003,148.050003,0,148.050003
"LLL",2013-05-31,147.899994,147.899994,147.899994,147.899994,20,147.899994
"LLL",2013-06-03,150,150,150,150,20,150
"LLL",2013-06-04,150,150,150,150,7,150
"LLL",2013-06-05,150,150,150,150,0,150
"LLL",2013-06-06,150,150,150,150,0,150
"LLL",2013-06-07,150,150,150,150,0,150
"LLL",2013-06-10,150,150,150,150,0,150
"LLL",2013-06-11,150,150,150,150,0,150
"LLL",2013-06-12,150,150,150,150,0,150
"LLL",2013-06-13,150,150,150,150,0,150
"LLL",2013-06-14,150,150,150,150,0,150
"LLL",2013-06-17,150,150,150,150,0,150
"LLL",2013-06-18,150,150,150,150,0,150
"LLL",2013-06-19,150,150,150,150,0,150
